Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IYZ,iShares U.S. Telecommunications ETF,Equity,"$366,506,421.00 ",-0.23%,"262,995",$29.81 ,0.10%,No,No,-0.03%,1.05%,9.58%,-9.44%,15.66%,"($16,374,288.50)","($4,478,367.50)","($19,387,807.50)","($114,780,466.50)","($264,695,966.50)","($167,275,186.50)",Communications Equities,2000-05-22,0.42%,N/A,$0.70 ,2019-12-16,$0.21 ,2.36%,18.56,0.81,42,75.66%,35%,15%,1099,$29.57 ,$29.99 ,$29.73 ,$29.89 ,55.75,B+,A+,B,B+,A-,B,C,3.94,29.63%,17.48%,33.94,1.63%,1.17%
BBH,VanEck Vectors Biotech ETF,Equity,"$364,677,989.00 ",0.63%,"14,256",$140.30 ,-0.36%,No,No,0.13%,-0.06%,12.90%,30.92%,24.71%,$0.00 ,$0.00 ,"($7,169,649.00)","($94,431,512.00)","($379,346,612.50)","($356,254,070.68)",Health & Biotech Equities,2011-12-20,0.35%,N/A,$0.47 ,2019-12-23,$0.47 ,0.34%,24.39,1.32,25,59.94%,35%,15%,1099,$137.92 ,$143.02 ,$139.78 ,$141.34 ,55.42,B-,A-,A,A+,C,C+,C,3.52,15.98%,12.48%,22.22,0.00%,36.38%
IHE,iShares U.S. Pharmaceuticals ETF,Equity,"$362,651,740.00 ",2.88%,"16,031",$164.74 ,1.23%,No,No,4.06%,4.80%,14.15%,18.27%,11.82%,"($15,766,963.00)","($15,766,963.00)","$101,267.00 ","($68,232,014.00)","($413,575,250.00)","($482,633,688.00)",Health & Biotech Equities,2006-05-05,0.42%,N/A,$2.24 ,2019-12-16,$0.52 ,1.37%,29.17,1.05,46,75.44%,35%,15%,1099,$156.29 ,$163.29 ,$164.21 ,$165.07 ,76.04,C+,B,B,C,B,A-,B-,4.69,38.93%,32.11%,26.79,0.00%,6.80%
ONEO,SPDR Russell 1000 Momentum Focus ETF,Equity,"$362,212,267.00 ",1.33%,"21,127",$79.06 ,0.06%,No,No,1.13%,1.89%,22.16%,25.84%,N/A,$0.00 ,$0.00 ,"($366,914.40)","($150,165,673.80)","($138,042,130.80)","$249,399,568.20 ",All Cap Equities,2015-12-02,0.20%,N/A,$1.28 ,2019-12-23,$0.39 ,1.61%,17.69,1.04,893,7.07%,39%,20%,1099,$77.42 ,$79.03 ,$78.98 ,$79.20 ,67.17,N/A,C,A-,N/A,N/A,C,N/A,5.13,26.48%,41.43%,334.56,7.53%,4.66%
FLJP,Franklin FTSE Japan ETF,Equity,"$362,074,284.00 ",0.65%,"106,669",$26.32 ,-0.45%,No,No,0.13%,-0.30%,14.17%,N/A,N/A,$0.00 ,$0.00 ,$0.00 ,"($72,069,258.00)","$216,425,712.00 ","$216,425,712.00 ",Japan Equities,2017-11-02,0.09%,N/A,$0.59 ,2019-12-11,$0.30 ,2.24%,15.46,0.77,502,18.28%,39%,20%,1099,$26.10 ,$26.53 ,$26.29 ,$26.34 ,54.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.55,56.87%,50.89%,100.14,7.66%,9.54%
DBA,Invesco DB Agriculture Fund,Commodity,"$356,376,683.00 ",-0.18%,"265,023",$16.53 ,0.24%,No,No,1.35%,0.64%,-1.71%,-18.15%,-30.35%,"$9,816,294.00 ",$0.00 ,"$3,171,546.00 ","($121,011,992.00)","($248,874,650.00)","($300,766,454.16)",Agricultural Commodities,2007-01-05,0.85%,N/A,$0.26 ,2019-12-23,$0.26 ,1.56%,0,0.04,11,97.64%,23%,23%,K-1,$16.25 ,$16.59 ,$16.48 ,$16.58 ,59.69,A,A+,C,B,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PSCT,Invesco S&P SmallCap Information Technology ETF,Equity,"$355,912,128.00 ",2.95%,"12,367",$98.79 ,0.29%,No,No,1.91%,3.26%,35.76%,40.89%,107.06%,$0.00 ,$0.00 ,$0.00 ,"($64,630,562.00)","($324,919,959.00)","($179,438,806.00)",Technology Equities,2010-04-07,0.29%,N/A,$0.21 ,2019-12-23,$0.05 ,0.21%,20.84,1.12,79,25.83%,35%,15%,1099,$94.67 ,$98.46 ,$98.30 ,$99.32 ,67.18,A-,B,A,A,B-,A-,A,4.32,17.73%,23.39%,49.46,2.83%,4.31%
UIVM,VictoryShares USAA MSCI International Value Momentum ETF,Equity,"$355,624,328.00 ",0.44%,"11,116",$46.31 ,-0.15%,No,No,0.08%,0.78%,10.22%,N/A,N/A,$0.00 ,$0.00 ,$0.00 ,"$44,994,854.00 ","$376,803,086.00 ","$376,803,086.00 ",Foreign Large Cap Equities,2017-10-24,0.35%,N/A,$1.61 ,2019-12-30,$0.16 ,3.48%,14.86,0.81,322,7.16%,39%,20%,1099,$45.85 ,$46.46 ,$46.29 ,$46.34 ,58.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.65,37.70%,79.34%,263.8,8.16%,8.18%
ROUS,Hartford Multifactor US Equity ETF,Equity,"$353,219,345.00 ",1.34%,"34,345",$34.15 ,0.32%,No,No,1.22%,2.31%,20.14%,39.14%,N/A,"$6,754,888.00 ","$5,071,657.50 ","$10,119,691.50 ","$110,265,704.00 ","$293,578,524.00 ","$316,871,485.00 ",Large Cap Blend Equities,2015-02-25,0.19%,N/A,$0.71 ,2019-12-20,$0.24 ,2.10%,18.1,1.05,351,10.97%,35%,15%,1099,$33.39 ,$34.08 ,$34.05 ,$34.22 ,69.81,N/A,C+,B+,N/A,N/A,N/A,N/A,5.1,24.38%,40.61%,228.45,5.20%,5.46%
DWT,VelocityShares 3x Inverse Crude Oil ETN,Commodity,"$352,038,917.00 ",14.49%,"20,693,700",$4.03 ,2.54%,Yes,3x,12.57%,12.26%,-61.44%,-82.54%,N/A,"($26,974,990.00)","($27,028,990.00)","($19,281,440.00)","$426,755,652.50 ","$526,035,075.50 ","$526,035,075.50 ",Leveraged Commodities,2016-12-08,1.50%,N/A,$0.00 ,N/A,N/A,0.00%,0,-3.91,1,100.00%,20%,39%,1099,$3.14 ,$4.05 ,$3.96 ,$4.13 ,51.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VTWG,Vanguard Russell 2000 Growth ETF,Equity,"$350,768,000.00 ",2.35%,"11,339",$159.48 ,0.72%,No,No,2.04%,3.05%,22.56%,42.68%,62.77%,$0.00 ,$0.00 ,"$3,902,500.00 ","$30,185,000.00 ","$97,953,500.00 ","$147,007,000.00 ",Small Cap Growth Equities,2010-09-22,0.15%,Vanguard,$1.12 ,2019-12-16,$0.36 ,0.71%,26.4,1.24,1160,5.40%,35%,15%,1099,$153.78 ,$158.54 ,$158.51 ,$160.27 ,72.15,A,B+,A-,A-,B,B+,A+,3.59,23.87%,13.32%,84.73,4.45%,6.23%
CDL,VictoryShares US Large Cap High Dividend Volatility Weighted ETF,Equity,"$350,081,066.00 ",-0.47%,"23,413",$50.35 ,-0.10%,No,No,0.57%,-0.01%,21.14%,37.04%,N/A,"($7,523,535.00)","($7,532,848.50)","($7,523,535.00)","$120,357,730.50 ","$213,544,939.00 ","$285,702,239.00 ",Large Cap Value Equities,2015-07-07,0.35%,N/A,$1.54 ,2020-01-08,$0.01 ,3.06%,14.82,0.83,101,14.36%,35%,15%,1099,$49.92 ,$50.79 ,$50.23 ,$50.53 ,58.76,N/A,N/A,B+,N/A,N/A,N/A,N/A,6.04,80.32%,65.39%,783.27,13.51%,4.74%
EWI,iShares MSCI Italy ETF,Equity,"$350,029,803.00 ",-0.17%,"742,831",$29.45 ,-0.57%,No,No,-0.64%,-0.03%,21.44%,33.24%,33.60%,$0.00 ,$0.00 ,"$4,409,928.00 ","$77,521,182.00 ","($420,166,168.50)","($403,581,684.75)",Europe Equities,1996-03-12,0.49%,TD Ameritrade,$1.12 ,2019-12-16,$0.20 ,3.79%,12.33,0.89,25,70.19%,35%,15%,1099,$29.37 ,$29.83 ,$29.41 ,$29.53 ,52.92,B-,A,B,C+,C,B+,C+,9.1,97.67%,99.62%,327.09,21.56%,2.20%
RWK,Invesco S&P MidCap 400 Revenue ETF,Equity,"$348,504,038.00 ",0.14%,"10,809",$65.04 ,-0.09%,No,No,0.92%,0.11%,18.08%,21.70%,47.53%,"($6,444,964.50)","($3,217,924.50)","($6,444,964.50)","($39,822,276.50)","$36,506,237.50 ","$52,888,930.00 ",Small Cap Blend Equities,2008-02-22,0.39%,N/A,$0.71 ,2019-12-23,$0.25 ,1.09%,13.71,1.25,398,17.94%,35%,15%,1099,$64.20 ,$65.48 ,N/A,N/A,60.98,B,B-,C+,A+,C+,C+,B,4.26,59.98%,22.31%,181.68,7.31%,3.51%
EELV,Invesco S&P Emerging Markets Low Volatility ETF,Equity,"$342,681,013.00 ",-0.62%,"55,445",$23.85 ,-0.58%,No,No,0.97%,-0.16%,4.97%,24.43%,11.09%,$0.00 ,$0.00 ,$0.00 ,"$55,002,384.00 ","$100,246,974.50 ","$177,467,755.50 ",Volatility Hedged Equity,2012-01-13,0.29%,Charles Schwab,$0.75 ,2019-12-23,$0.15 ,3.15%,12.85,0.68,193,12.23%,35%,15%,1099,$23.57 ,$24.11 ,$23.76 ,$23.92 ,56.77,A,B+,A,A-,A,B-,B+,4.73,63.42%,33.16%,428.27,3.40%,6.25%
IYM,iShares U.S. Basic Materials ETF,Equity,"$341,553,807.00 ",-1.73%,"31,247",$96.25 ,0.41%,No,No,1.37%,0.05%,14.63%,18.88%,32.41%,"($9,642,633.00)",$0.00 ,"($9,642,633.00)","($114,953,858.00)","($430,007,061.50)","($342,514,060.50)",Materials,2000-06-20,0.42%,N/A,$2.04 ,2019-12-16,$0.62 ,2.13%,14.65,1.23,47,68.09%,35%,15%,1099,$94.23 ,$98.41 ,$95.80 ,$96.69 ,54.56,A-,A,B,B+,A-,B,B+,5.77,56.52%,57.55%,1017.7,4.48%,2.54%
FXG,First Trust Consumer Staples AlphaDEX Fund,Equity,"$340,509,811.00 ",-0.64%,"73,223",$49.72 ,0.22%,No,No,0.83%,1.57%,13.57%,14.02%,27.01%,"$30,002,628.50 ",$0.00 ,"$27,509,903.00 ","($20,802,430.00)","($424,324,886.50)","($1,975,993,013.90)",Consumer Staples Equities,2007-05-08,0.64%,N/A,$0.82 ,2019-12-13,$0.26 ,1.64%,23.1,0.66,37,44.36%,35%,15%,1099,$48.99 ,$50.27 ,$49.54 ,$49.95 ,59.19,B+,A,C+,A+,B+,B,B-,6.59,65.75%,78.18%,94.93,13.27%,10.03%
RWJ,Invesco S&P SmallCap 600 Revenue ETF,Equity,"$339,150,945.00 ",-1.44%,"14,931",$67.10 ,0.68%,No,No,-0.34%,-1.78%,6.86%,2.76%,28.41%,"($3,388,638.50)",$0.00 ,"($6,671,087.00)","($98,521,688.00)","($109,187,114.50)","($21,792,600.50)",Small Cap Value Equities,2008-02-22,0.39%,N/A,$0.83 ,2019-12-23,$0.35 ,1.24%,-2.93,1.35,594,14.52%,35%,15%,1099,$66.34 ,$68.92 ,$66.52 ,$67.54 ,51.84,B,B,B-,A+,B,B,B,4.13,50.11%,20.16%,121.51,4.94%,4.05%
USLV,VelocityShares 3x Long Silver ETN,Commodity,"$338,868,877.00 ",1.32%,"310,625",$93.01 ,3.02%,No,3x,-2.40%,16.55%,24.11%,-30.02%,-59.94%,"($20,804,145.00)","($18,415,140.00)","($22,850,517.50)","$15,887,610.60 ","$183,759,291.55 ","$362,833,822.42 ",Leveraged Commodities,2011-10-14,1.65%,N/A,$0.00 ,N/A,N/A,0.00%,0,-0.1,1,100.00%,39%,20%,1099,$78.84 ,$101.91 ,$91.71 ,$94.01 ,55.43,C+,A,C,C,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FDD,First Trust STOXX European Select Dividend Index Fund,Equity,"$335,935,343.00 ",-0.05%,"87,180",$14.03 ,0.07%,No,No,0.29%,1.08%,19.99%,31.85%,36.75%,"$6,306,858.50 ","$2,096,557.50 ","$11,198,132.00 ","($61,171,561.50)","$76,687,614.50 ","$140,271,852.66 ",Europe Equities,2007-08-30,0.57%,N/A,$0.66 ,2019-12-13,$0.06 ,4.70%,13.1,0.71,31,43.17%,35%,15%,1099,$13.86 ,$14.13 ,N/A,N/A,62.24,B,B,C+,C+,A,A,C+,8.97,99.69%,99.50%,256.71,10.34%,11.22%
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund,Equity,"$334,690,247.00 ",1.60%,"69,184",$45.85 ,0.09%,No,No,0.84%,2.25%,28.28%,39.83%,64.47%,"($36,247,251.50)",$0.00 ,"($45,249,553.50)","($68,903,564.00)","($1,688,610,379.50)","($665,629,594.61)",Industrials Equities,2007-05-08,0.63%,N/A,$0.33 ,2019-12-13,$0.11 ,0.73%,16.98,1.3,92,18.91%,35%,15%,1099,$44.81 ,$45.89 ,$45.69 ,$46.02 ,63.47,B+,A,C+,A-,B,B+,A-,6.2,64.65%,69.81%,131.47,16.63%,1.79%
PDN,Invesco FTSE RAFI Developed Markets ex-U.S. Small-Mid ETF,Equity,"$331,383,239.00 ",0.25%,"12,675",$32.04 ,0.06%,No,No,0.56%,1.27%,14.48%,23.42%,40.07%,$0.00 ,$0.00 ,$0.00 ,"($53,469,706.50)","$131,645,735.00 ","$177,439,082.00 ",Global Equities,2007-09-27,0.49%,N/A,$0.83 ,2019-12-23,$0.21 ,2.58%,16.44,0.82,1482,2.29%,35%,15%,1099,$31.67 ,$32.14 ,$31.95 ,$32.08 ,62.36,B,B+,B,B+,B+,B-,A,5.17,20.54%,42.22%,154.57,4.11%,6.94%
SMLV,SPDR SSGA US Small Cap Low Volatility Index ETF,Equity,"$330,779,931.00 ",0.07%,"15,681",$100.15 ,0.22%,No,No,0.76%,0.06%,18.32%,16.79%,51.42%,"$2,982,374.80 ","$991,442.60 ","$9,997,492.00 ","$94,108,184.40 ","$111,313,860.90 ","$259,123,372.90 ",Volatility Hedged Equity,2013-02-20,0.12%,N/A,$2.62 ,2019-12-20,$0.80 ,2.62%,16.89,0.87,400,7.77%,35%,15%,1099,$99.15 ,$100.70 ,$99.85 ,$100.45 ,60.61,C+,B-,A,N/A,N/A,C,C,3.13,5.66%,8.27%,127,3.09%,4.78%
GREK,Global X FTSE Greece 20 ETF,Equity,"$323,791,889.00 ",-0.89%,"318,322",$10.04 ,0.10%,No,No,0.70%,1.73%,44.41%,33.63%,-14.47%,"($2,480,047.50)","($2,480,047.50)","($2,480,047.50)","($13,765,509.00)","$3,020,775.00 ","$300,262,609.50 ",Emerging Markets Equities,2011-12-07,0.59%,2 Platforms,$0.23 ,2019-12-30,$0.19 ,2.29%,14.26,1.27,27,67.52%,35%,15%,1099,$9.75 ,$10.22 ,$10.01 ,$10.07 ,56.46,C,A,C,C,C,B-,C+,5.95,95.29%,62.59%,600.78,8.24%,4.58%
IXP,iShares Global Telecom ETF,Equity,"$323,637,585.00 ",3.36%,"64,042",$63.46 ,0.24%,No,No,1.28%,3.63%,21.73%,16.21%,24.46%,$0.00 ,$0.00 ,$0.00 ,"$31,559,769.00 ","$7,188,892.50 ","($124,825,725.50)",Large Cap Growth Equities,2001-11-12,0.46%,N/A,$1.34 ,2019-12-16,$0.45 ,2.11%,21.03,0.73,68,65.76%,35%,15%,1099,$60.65 ,$63.65 ,$63.29 ,$63.61 ,70.77,A-,A-,B+,B-,A+,B+,B,5.06,62.96%,39.77%,24.94,0.00%,1.35%
FNY,First Trust Mid Cap Growth AlphaDEX Fund,Equity,"$323,362,121.00 ",2.32%,"40,980",$48.98 ,0.33%,No,No,1.47%,3.13%,25.87%,52.86%,72.03%,"($2,405,637.50)",$0.00 ,"($4,779,617.50)","$67,361,342.50 ","$175,163,373.50 ","$196,406,019.28 ",Small Cap Growth Equities,2011-04-19,0.70%,N/A,$0.13 ,2019-12-13,$0.11 ,0.27%,25.38,1.08,226,7.90%,35%,15%,1099,$47.31 ,$48.87 ,$48.75 ,$49.23 ,68.29,B-,B,C+,C,C+,A+,B-,3.9,38.87%,17.02%,134.85,5.81%,6.73%
BRZU,Direxion Daily Brazil Bull 3X Shares,Equity,"$323,346,548.00 ",-10.62%,"1,728,889",$34.68 ,-6.60%,No,3x,-7.96%,-2.92%,1.60%,-6.67%,-57.30%,"($11,785,051.00)","($1,838,300.00)","($96,521,591.50)","($198,874,633.50)","($111,188,026.00)","($90,775,190.20)",Leveraged Equities,2013-04-10,1.36%,N/A,$0.37 ,2019-12-23,$0.17 ,0.99%,16.35,2.38,2,100.00%,35%,15%,1099,$34.12 ,$40.52 ,$34.08 ,$35.74 ,50.32,N/A,C+,C,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
PFM,Invesco Dividend Achievers??ETF,Equity,"$321,704,392.00 ",1.19%,"15,597",$31.08 ,0.29%,No,No,1.02%,2.27%,24.84%,43.67%,62.72%,"($3,078,271.00)","($3,078,271.00)","($3,094,247.50)","($46,685,266.50)","($65,755,706.00)","($137,422,502.50)",Large Cap Growth Equities,2005-09-15,0.54%,N/A,$0.60 ,2019-12-23,$0.17 ,1.92%,19.13,0.81,258,32.25%,35%,15%,1099,$30.38 ,$31.03 ,$30.99 ,$31.14 ,69.34,B-,B,B-,C,B,B,B+,6.63,88.42%,78.97%,296.99,11.18%,5.74%
FXD,First Trust Consumer Discretionary AlphaDEX Fund,Equity,"$320,685,647.00 ",0.38%,"57,220",$45.50 ,-0.04%,No,No,0.28%,0.80%,16.76%,31.90%,37.70%,"($40,779,787.00)",$0.00 ,"($49,868,977.50)","($24,497,347.00)","($288,587,469.50)","($1,637,290,857.77)",Consumer Discretionary Equities,2007-05-08,0.64%,N/A,$0.42 ,2019-12-13,$0.12 ,0.92%,15.21,1.02,119,15.30%,35%,15%,1099,$44.89 ,$45.69 ,N/A,N/A,59.15,A-,A,C+,A,B+,B,A-,3.97,22.50%,18.02%,61.7,2.75%,3.57%
AMZA,InfraCap MLP ETF,Equity,"$319,863,567.00 ",5.52%,"773,973",$4.69 ,0.21%,No,No,1.30%,5.06%,-3.93%,-25.15%,-42.58%,"($696,247.50)","($696,247.50)","($2,757,279.00)","($42,005,372.50)","$541,045,091.00 ","$745,818,888.91 ",MLPs,2014-10-01,2.40%,N/A,$0.96 ,2020-01-03,$0.08 ,20.43%,10.18,1.61,30,100.55%,35%,15%,1099,$4.37 ,$4.74 ,N/A,N/A,62.22,N/A,N/A,C,N/A,N/A,N/A,N/A,2.01,6.67%,2.45%,6746.22,0.00%,0.00%
SMLF,iShares Edge MSCI Multifactor USA Small-Cap ETF,Equity,"$316,738,313.00 ",1.21%,"33,870",$43.43 ,0.49%,No,No,1.56%,1.33%,16.17%,25.79%,N/A,"$6,422,422.50 ","$6,422,422.50 ","$12,846,298.50 ","$91,005,390.00 ","$258,754,886.50 ","$280,893,357.00 ",Small Cap Blend Equities,2015-04-28,0.30%,N/A,$0.60 ,2019-12-16,$0.23 ,1.38%,16.58,1.09,460,10.09%,35%,15%,1099,$42.50 ,$43.27 ,$43.23 ,$43.57 ,66.82,N/A,N/A,C,N/A,N/A,N/A,N/A,3.79,33.59%,15.69%,148.79,2.53%,4.31%
EPOL,iShares MSCI Poland ETF,Equity,"$316,480,563.00 ",1.85%,"196,722",$21.47 ,-0.83%,No,No,2.78%,3.57%,-6.90%,18.85%,-0.13%,"$22,698,130.00 ","$15,218,574.00 ","$32,058,044.50 ","$62,052,926.50 ","$111,517,008.00 ","$173,102,328.50 ",Europe Equities,2010-05-25,0.61%,N/A,$0.53 ,2019-12-16,$0.49 ,2.44%,10.97,0.75,36,66.51%,35%,15%,1099,$20.47 ,$21.75 ,$21.41 ,$21.55 ,55.95,B+,A-,B,B-,B,B,C+,5.41,1.56%,47.75%,526.06,0.90%,2.83%
HFXI,IQ 50 Percent Hedged FTSE International ETF,Equity,"$315,332,974.00 ",0.82%,"93,294",$21.90 ,-0.45%,No,No,-0.05%,0.73%,20.11%,30.27%,N/A,"$23,872,672.50 ","$16,241,325.00 ","$39,103,916.50 ","($81,133,028.00)","$127,599,618.79 ","$286,480,451.79 ",Foreign Large Cap Equities,2015-07-22,0.20%,N/A,$0.69 ,2019-12-30,$0.09 ,3.16%,14.5,0.82,799,11.33%,35%,15%,1099,$21.65 ,$22.01 ,N/A,N/A,58.98,N/A,B,A-,N/A,N/A,C,N/A,7.01,58.24%,86.01%,150.57,11.64%,7.02%
CZA,Invesco Zacks Mid-Cap ETF,Equity,"$313,648,929.00 ",0.62%,"15,200",$77.42 ,0.21%,No,No,1.16%,1.26%,28.26%,45.17%,73.15%,"$231,187.50 ",$0.00 ,"$231,187.50 ","$22,914,339.50 ","$78,714,353.00 ","$80,982,622.50 ",Mid Cap Blend Equities,2007-04-02,0.76%,N/A,$1.07 ,2019-12-23,$1.07 ,1.39%,16.33,0.96,101,18.78%,35%,15%,1099,$76.26 ,$77.68 ,$76.82 ,$78.46 ,62.12,B-,B-,C,C+,A+,B+,C,5.02,87.53%,38.99%,262.58,2.41%,3.57%
WDIV,SPDR S&P Global Dividend ETF,Equity,"$313,038,455.00 ",0.12%,"18,745",$71.53 ,0.04%,No,No,0.51%,1.07%,15.25%,27.71%,37.02%,$0.00 ,$0.00 ,"$5,321,145.75 ","$36,937,538.25 ","$174,247,204.25 ","$246,537,710.25 ",Large Cap Value Equities,2013-05-29,0.40%,Charles Schwab,$2.85 ,2019-12-23,$0.86 ,3.99%,14.64,0.71,98,15.63%,35%,15%,1099,$70.65 ,$71.69 ,$71.42 ,$71.72 ,64.04,A-,B,B+,N/A,A-,A,B,6.12,32.50%,67.78%,474.52,11.21%,8.34%
DUST,Direxion Daily Gold Miners Bear 3X Shares,Equity,"$312,262,359.00 ",3.91%,"14,112,528",$5.84 ,-5.65%,Yes,3x,-5.19%,-17.63%,-75.78%,-83.55%,-99.31%,"($4,624,524.50)","($17,256,429.00)","($10,661,967.00)","$419,595,616.50 ","$112,547,094.50 ","$679,940,998.33 ",Leveraged Equities,2010-12-08,1.05%,N/A,$0.14 ,2019-12-23,$0.01 ,2.25%,26.9,0.55,48,60.21%,35%,15%,1099,$5.03 ,$7.40 ,$5.67 ,$6.13 ,42.49,B-,A,A-,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CATH,Global X S&P 500 Catholic Values ETF,Equity,"$311,208,341.00 ",1.84%,"23,964",$40.15 ,0.12%,No,No,1.06%,2.93%,27.96%,52.48%,N/A,"$2,008,518.00 ","$2,008,518.00 ","$9,895,932.50 ","$97,315,264.50 ","$159,015,323.00 ","$234,935,812.50 ",Large Cap Growth Equities,2016-04-18,0.29%,N/A,$0.57 ,2019-12-30,$0.32 ,1.43%,18.82,1.01,455,23.59%,39%,20%,1099,$38.85 ,$40.28 ,$40.05 ,$40.28 ,71.31,N/A,N/A,B+,N/A,N/A,N/A,A,5.73,64.67%,56.68%,186.11,8.38%,5.74%
FFTY,Innovator IBD 50 Fund,Equity,"$311,140,260.00 ",4.12%,"98,970",$36.16 ,-0.03%,No,No,2.35%,3.76%,22.53%,46.69%,N/A,"($2,041,170.00)","($229,515.00)","($12,523,535.00)","($162,548,940.00)","$286,070,428.00 ","$328,362,838.00 ",All Cap Equities,2015-04-09,0.80%,N/A,$0.00 ,2017-12-28,$0.06 ,0.00%,32.11,1.27,51,34.69%,39%,20%,1099,$34.26 ,$36.21 ,$36.06 ,$36.28 ,67.11,N/A,N/A,C+,N/A,N/A,N/A,N/A,3.33,13.45%,10.40%,47.25,3.01%,5.13%
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"$310,973,632.00 ",0.26%,"53,917",$31.29 ,1.13%,No,No,2.07%,2.08%,9.85%,1.25%,17.05%,"$3,100,473.00 ",$0.00 ,"$1,017,840.50 ","($45,556,201.50)","$159,082,081.00 ","$253,113,224.00 ",Real Estate,2010-12-02,0.35%,N/A,$1.93 ,2019-12-23,$0.18 ,6.24%,-253.4,0.86,31,46.00%,35%,15%,1099,$30.24 ,$31.25 ,$31.03 ,$31.48 ,56.89,A,B,A-,A+,B-,A,C+,0.66,0.59%,0.11%,82.75,2.84%,0.19%
DVP,Deep Value ETF,Equity,"$308,546,175.00 ",-1.13%,"24,148",$32.28 ,-0.55%,No,No,-0.15%,-1.04%,8.98%,29.33%,53.12%,"$1,616,770.00 ","$1,616,770.00 ","$46,740.00 ","$68,907,535.00 ","$210,276,378.00 ","$98,481,103.00 ",Mid Cap Value Equities,2014-09-22,0.59%,N/A,$1.14 ,2019-12-30,$0.66 ,3.53%,8.91,1.19,21,61.34%,35%,15%,1099,$32.01 ,$32.88 ,$32.17 ,$32.47 ,52.34,C,B,C,N/A,C,B-,N/A,5.94,98.55%,62.44%,122,0.00%,7.07%
CNYA,iShares MSCI China A ETF,Equity,"$307,626,433.00 ",3.06%,"65,266",$31.37 ,-0.79%,No,No,1.78%,5.52%,32.02%,31.10%,N/A,"$35,422,002.50 ","$6,099,008.00 ","$35,422,002.50 ","$212,126,812.00 ","$264,240,599.50 ","$264,240,599.50 ",China Equities,2016-06-13,0.65%,N/A,$0.37 ,2019-12-16,$0.26 ,1.18%,15.88,0.96,466,19.88%,20%,39%,1099,$28.95 ,$31.93 ,$31.29 ,$31.50 ,65.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.84,5.95%,1.87%,312.69,12.06%,3.76%
KBWD,Invesco KBW High Dividend Yield Financial ETF,Equity,"$307,499,880.00 ",1.53%,"52,225",$22.26 ,0.09%,No,No,1.39%,1.62%,14.47%,21.88%,36.21%,$0.00 ,$0.00 ,"$3,271,039.00 ","$9,385,173.00 ","$78,467,637.00 ","$88,124,363.50 ",Financials Equities,2010-12-02,1.58%,N/A,$1.89 ,2019-12-23,$0.16 ,8.51%,9.99,0.91,41,35.82%,35%,15%,1099,$21.75 ,$22.20 ,$22.21 ,$22.33 ,74.41,B,B+,C,C,A,A,B-,2.44,6.28%,4.09%,4.62,0.00%,0.07%
DBJP,Xtrackers MSCI Japan Currency-Hedged Equity Fund,Equity,"$303,819,752.00 ",1.76%,"169,853",$43.40 ,-0.57%,No,No,0.91%,0.02%,18.11%,24.17%,38.05%,$0.00 ,$0.00 ,$0.00 ,"($395,130,401.50)","($1,949,973,086.00)","($483,359,763.50)",Japan Equities,2011-06-09,0.45%,E*TRADE,$1.09 ,2019-06-28,$1.09 ,2.50%,14.49,0.99,288,21.85%,35%,15%,1099,$42.46 ,$43.81 ,$43.33 ,$43.48 ,56.56,A+,A,B+,A+,B-,A,B+,5.7,71.64%,55.79%,95.13,7.33%,9.33%
